Compound,TyreLife,LapDeltaTime
INTERMEDIATE,10,-2.6043773584905656
INTERMEDIATE,11,-0.7417959183673473
INTERMEDIATE,12,-0.5895609756097561
INTERMEDIATE,13,0.17857894736842073
INTERMEDIATE,14,-0.5607058823529418
INTERMEDIATE,15,0.0416764705882345
INTERMEDIATE,16,-0.04030303030302896
INTERMEDIATE,17,0.4521250000000001
INTERMEDIATE,18,2.365290322580647
INTERMEDIATE,19,2.744592592592591
INTERMEDIATE,20,4.287772727272728
INTERMEDIATE,21,1.3067368421052619
INTERMEDIATE,22,-0.9931111111111106
INTERMEDIATE,23,0.370888888888889
INTERMEDIATE,24,-3.410388888888888
INTERMEDIATE,25,31.092749999999995
INTERMEDIATE,26,14.4274
INTERMEDIATE,27,-12.545333333333332
INTERMEDIATE,28,9.869
INTERMEDIATE,29,16.322999999999997
INTERMEDIATE,30,-35.842
INTERMEDIATE,31,1.4009999999999962
INTERMEDIATE,32,0.14000000000000531
INTERMEDIATE,33,-1.1813333333333322
INTERMEDIATE,34,-1.4606666666666683
INTERMEDIATE,35,-0.3673333333333299
INTERMEDIATE,36,-0.6360000000000005
INTERMEDIATE,37,-0.7293333333333342
INTERMEDIATE,38,-0.3273333333333331
INTERMEDIATE,39,-0.6043333333333388
INTERMEDIATE,40,-0.567333333333328
INTERMEDIATE,41,-0.1670000000000016
INTERMEDIATE,42,5.324999999999998
INTERMEDIATE,43,-0.12949999999999307
INTERMEDIATE,44,17.10949999999999
MEDIUM,1,-10.165500000000003
MEDIUM,2,1.4919963235294116
MEDIUM,3,-1.4484078014184394
MEDIUM,4,0.8313006993006994
MEDIUM,5,-0.6843496503496503
MEDIUM,6,0.39197212543554005
MEDIUM,7,1.8045473684210525
MEDIUM,8,-1.6345888888888886
MEDIUM,9,1.1385891472868217
MEDIUM,10,0.4293591836734694
MEDIUM,11,0.7254025423728818
MEDIUM,12,-0.2261748878923769
MEDIUM,13,1.1971004784688988
MEDIUM,14,0.7080050251256282
MEDIUM,15,-0.9150744680851061
MEDIUM,16,0.3159672131147536
MEDIUM,17,-0.08149132947976853
MEDIUM,18,0.019680981595091143
MEDIUM,19,1.340190789473685
MEDIUM,20,-0.7268652482269502
MEDIUM,21,-0.23881481481481445
MEDIUM,22,0.8584380165289254
MEDIUM,23,0.7144601769911506
MEDIUM,24,-0.37815841584158505
MEDIUM,25,0.7796847826086963
MEDIUM,26,1.6645925925925926
MEDIUM,27,0.9829090909090912
MEDIUM,28,0.838750000000001
MEDIUM,29,1.4594749999999983
MEDIUM,30,0.2585161290322598
MEDIUM,31,0.4480384615384605
MEDIUM,32,0.30938095238095376
MEDIUM,33,0.2521176470588228
MEDIUM,34,0.030200000000000195
MEDIUM,35,-0.03566666666666644
MEDIUM,36,0.012416666666666742
MEDIUM,37,0.8664000000000002
MEDIUM,38,0.33174999999999955
MEDIUM,39,-0.01271428571428146
MEDIUM,40,-0.0248571428571438
MEDIUM,41,0.47771428571428487
MEDIUM,42,3.1513333333333335
MEDIUM,43,-0.7150000000000005
MEDIUM,44,-0.5123999999999966
MEDIUM,45,0.29359999999999786
MEDIUM,46,-0.21500000000000058
MEDIUM,47,0.05979999999999848
MEDIUM,48,0.37300000000000183
MEDIUM,49,0.18779999999999858
MEDIUM,50,3.7118000000000024
MEDIUM,51,3.2219999999999978
MEDIUM,52,1.7346666666666692
MEDIUM,53,-2.3003333333333367
MEDIUM,54,-0.46033333333332865
MEDIUM,55,0.09433333333332901
MEDIUM,56,0.30366666666666714
MEDIUM,57,-0.08600000000000325
MEDIUM,58,0.2033333333333379
MEDIUM,59,-0.46300000000000335
MEDIUM,60,0.07000000000000266
MEDIUM,61,-0.7540000000000001
MEDIUM,62,0.18133333333333704
MEDIUM,63,-0.33166666666667294
MEDIUM,64,0.016666666666670455
MEDIUM,65,-0.13333333333333522
MEDIUM,66,0.07033333333333285
MEDIUM,67,-0.2719999999999961
MEDIUM,68,-0.14366666666667052
MEDIUM,69,-0.13599999999999568
MEDIUM,70,0.22566666666666416
MEDIUM,71,-0.028666666666666174
MEDIUM,72,-0.3509999999999991
MEDIUM,73,-0.24399999999999977
MEDIUM,74,1.1373333333333353
MEDIUM,75,-0.6830000000000022
MEDIUM,76,-0.5740000000000028
MEDIUM,77,0.7710000000000008
SOFT,1,3.20876
SOFT,2,-9.519794871794874
SOFT,3,-1.7114819277108424
SOFT,4,0.8470333333333323
SOFT,5,-3.8085272727272725
SOFT,6,2.5432830188679243
SOFT,7,1.0036464646464645
SOFT,8,0.042126315789473935
SOFT,9,-0.2814175824175825
SOFT,10,-1.1611686746987955
SOFT,11,0.2329375000000004
SOFT,12,0.30378666666666654
SOFT,13,0.19917142857142928
SOFT,14,0.2586617647058815
SOFT,15,0.4804821428571446
SOFT,16,0.22897826086956494
SOFT,17,0.6438157894736843
SOFT,18,0.2711818181818177
SOFT,19,0.23196666666666582
SOFT,20,0.71988
SOFT,21,0.31605263157894714
SOFT,22,0.2992857142857141
SOFT,23,0.6653999999999997
SOFT,24,1.7595714285714297
SOFT,25,0.9152500000000003
SOFT,26,-0.6373333333333354
SOFT,27,-0.0030000000000001137
SOFT,28,-0.03349999999999653
SOFT,29,0.992999999999995
WET,1,
WET,2,-16.264499999999998
WET,3,-1.3240000000000052
WET,4,-1.8695000000000022
WET,5,0.7935000000000016
WET,6,0.10900000000000176
WET,7,10.363
WET,8,-1.9879999999999995
WET,9,0.0969999999999942
WET,10,0.4040000000000106
WET,11,0.000999999999990564
WET,12,17.471000000000004
