EventName,Team,Compound,LapCount,TotalLaps,LapProportion
Monaco Grand Prix,Haas F1 Team,MEDIUM,1,78,0.01282051282051282
Monaco Grand Prix,Kick Sauber,HARD,131,78,1.6794871794871795
Monaco Grand Prix,Kick Sauber,MEDIUM,15,78,0.19230769230769232
Monaco Grand Prix,Kick Sauber,SOFT,6,78,0.07692307692307693
Monaco Grand Prix,McLaren,HARD,154,78,1.9743589743589745
Monaco Grand Prix,McLaren,MEDIUM,2,78,0.02564102564102564
Monaco Grand Prix,Mercedes,HARD,29,78,0.3717948717948718
Monaco Grand Prix,Mercedes,MEDIUM,127,78,1.6282051282051282
Monaco Grand Prix,RB,HARD,151,78,1.935897435897436
Monaco Grand Prix,RB,MEDIUM,2,78,0.02564102564102564
Monaco Grand Prix,Red Bull Racing,HARD,28,78,0.358974358974359
Monaco Grand Prix,Red Bull Racing,MEDIUM,51,78,0.6538461538461539
Monaco Grand Prix,Williams,HARD,133,78,1.705128205128205
Monaco Grand Prix,Williams,MEDIUM,20,78,0.2564102564102564
Saudi Arabian Grand Prix,Alpine,HARD,42,50,0.84
Saudi Arabian Grand Prix,Alpine,MEDIUM,8,50,0.16
Saudi Arabian Grand Prix,Aston Martin,HARD,43,50,0.86
Saudi Arabian Grand Prix,Aston Martin,MEDIUM,13,50,0.26
Saudi Arabian Grand Prix,Ferrari,HARD,86,50,1.72
Saudi Arabian Grand Prix,Ferrari,MEDIUM,7,50,0.14
Saudi Arabian Grand Prix,Ferrari,SOFT,7,50,0.14
Saudi Arabian Grand Prix,Haas F1 Team,HARD,60,50,1.2
Saudi Arabian Grand Prix,Haas F1 Team,MEDIUM,40,50,0.8
Saudi Arabian Grand Prix,Kick Sauber,HARD,28,50,0.56
Saudi Arabian Grand Prix,Kick Sauber,MEDIUM,41,50,0.82
Saudi Arabian Grand Prix,Kick Sauber,SOFT,29,50,0.58
Saudi Arabian Grand Prix,McLaren,HARD,43,50,0.86
Saudi Arabian Grand Prix,McLaren,MEDIUM,44,50,0.88
Saudi Arabian Grand Prix,McLaren,SOFT,13,50,0.26
Saudi Arabian Grand Prix,Mercedes,HARD,43,50,0.86
Saudi Arabian Grand Prix,Mercedes,MEDIUM,43,50,0.86
Saudi Arabian Grand Prix,Mercedes,SOFT,14,50,0.28
Saudi Arabian Grand Prix,RB,HARD,84,50,1.68
Saudi Arabian Grand Prix,RB,MEDIUM,14,50,0.28
Saudi Arabian Grand Prix,Red Bull Racing,HARD,86,50,1.72
Saudi Arabian Grand Prix,Red Bull Racing,MEDIUM,14,50,0.28
Saudi Arabian Grand Prix,Williams,HARD,85,50,1.7
