EventName,DriverNumber,Compound,LapCount,TotalLaps,LapProportion
Bahrain Grand Prix,20,SOFT,11,57,0.19298245614035087
Bahrain Grand Prix,22,HARD,42,57,0.7368421052631579
Bahrain Grand Prix,22,SOFT,14,57,0.24561403508771928
Bahrain Grand Prix,23,HARD,41,57,0.7192982456140351
Bahrain Grand Prix,23,SOFT,15,57,0.2631578947368421
Bahrain Grand Prix,24,HARD,47,57,0.8245614035087719
Bahrain Grand Prix,24,SOFT,9,57,0.15789473684210525
Bahrain Grand Prix,27,HARD,40,57,0.7017543859649122
Bahrain Grand Prix,27,SOFT,16,57,0.2807017543859649
Bahrain Grand Prix,31,HARD,46,57,0.8070175438596491
Bahrain Grand Prix,31,SOFT,10,57,0.17543859649122806
Bahrain Grand Prix,44,HARD,45,57,0.7894736842105263
Bahrain Grand Prix,44,SOFT,12,57,0.21052631578947367
Bahrain Grand Prix,55,HARD,43,57,0.7543859649122807
Bahrain Grand Prix,55,SOFT,14,57,0.24561403508771928
Bahrain Grand Prix,63,HARD,46,57,0.8070175438596491
Bahrain Grand Prix,63,SOFT,11,57,0.19298245614035087
Bahrain Grand Prix,77,HARD,44,57,0.7719298245614035
Bahrain Grand Prix,77,SOFT,12,57,0.21052631578947367
Bahrain Grand Prix,81,HARD,45,57,0.7894736842105263
Bahrain Grand Prix,81,SOFT,12,57,0.21052631578947367
Belgian Grand Prix,1,HARD,18,44,0.4090909090909091
Belgian Grand Prix,1,MEDIUM,26,44,0.5909090909090909
Belgian Grand Prix,2,HARD,20,44,0.45454545454545453
Belgian Grand Prix,2,MEDIUM,24,44,0.5454545454545454
Belgian Grand Prix,3,HARD,23,44,0.5227272727272727
Belgian Grand Prix,3,MEDIUM,13,44,0.29545454545454547
Belgian Grand Prix,3,SOFT,8,44,0.18181818181818182
Belgian Grand Prix,4,HARD,29,44,0.6590909090909091
Belgian Grand Prix,4,MEDIUM,15,44,0.3409090909090909
Belgian Grand Prix,10,HARD,35,44,0.7954545454545454
Belgian Grand Prix,10,MEDIUM,9,44,0.20454545454545456
Belgian Grand Prix,11,HARD,21,44,0.4772727272727273
Belgian Grand Prix,11,MEDIUM,21,44,0.4772727272727273
Belgian Grand Prix,11,SOFT,2,44,0.045454545454545456
Belgian Grand Prix,14,HARD,31,44,0.7045454545454546
Belgian Grand Prix,14,MEDIUM,13,44,0.29545454545454547
Belgian Grand Prix,16,HARD,32,44,0.7272727272727273
